"","COG","pval","Diff","p.adj"
"1","A",5.42475574363916e-09,-0.000103643608120989,4.88228016927525e-08
"3","C",1.69088612036857e-78,-0.0123345548100984,3.38177224073715e-77
"5","E",2.50723506567585e-05,0.00140753943884815,0.000200578805254068
"7","G",2.7079634931529e-26,0.00786238121860534,4.60353793835993e-25
"8","H",4.44458653559956e-20,-0.00437128310528777,7.11133845695929e-19
"11","K",8.91499703508535e-61,0.011902338781981,1.69384943666622e-59
"12","L",5.56973538010354e-15,-0.00590331716894643,8.3546030701553e-14
"14","N",3.07209733448475e-09,-0.00139350372034671,3.07209733448475e-08
"15","O",1.76130288779101e-33,-0.00347098567777887,3.17034519802382e-32
"16","P",1.21391847525422e-09,0.00274874843431481,1.33531032277964e-08
"17","Q",2.44358402521493e-10,-0.0015246654110241,2.93230083025792e-09
"18","T",6.77004034592073e-11,-0.0037860346172388,8.80105244969695e-10
"20","V",9.4874758232733e-14,0.00225389790464541,1.32824661525826e-12
